Бренд;Коллекция;Категория;categoryId;Тип соединения;Фаска;Порода дерева;Селекция;Тон;Конструкция;Разновидность
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Таинственный лес;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Трехслойная (дуб+хвоя+хвоя);
Pergo;Ebeltoft 12 pro;Ламинат;270;замковое соединение;четырехсторонняя;Плитка;;Белый;;
Polarwood;Elegance;Паркетная доска;20003;замковое соединение;двухсторонняя;Дуб;Кантри;Натуральный;Трехслойная (дуб+хвоя+береза);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Темный;;Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Светлый;Трехслойная (дуб+дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Коричневый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Glomma pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Натуральный;;Монсоро
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Alpine Floor;Stone Mineral Core;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Французская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Английская
Pergo;Ebeltoft 12 pro;Ламинат;270;замковое соединение;четырехсторонняя;Плитка;;Бежевый;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+дуб);
